Date	Route	Rating	Notes	URL	Pitches	Location	Avg Stars	Your Stars	Style	Lead Style	Route Type	Your Rating
2017-09-03	Spinner	5.10b 6a+ 19 VII- 19 E2 5b		https://www.mountainproject.com/v/spinner/106614626	1	Kentucky : Red River Gorge : Muir Valley : Johnny's Wall	2.8	-1	Lead		Sport	
2017-09-03	Spinner	5.10b 6a+ 19 VII- 19 E2 5b		https://www.mountainproject.com/v/spinner/106614626	1	Kentucky : Red River Gorge : Muir Valley : Johnny's Wall	2.8	-1	Lead	Redpoint	Sport	
2017-09-02	Bedtime for Bonzo	5.6 4c 14 V 12 S 4b		https://www.mountainproject.com/v/bedtime-for-bonzo/105871977	2	Kentucky : Red River Gorge : Fortress Wall	3.3	-1	Lead	Onsight	Trad	
2017-09-02	Wonkaholic	5.10a 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/wonkaholic/107379163	1	Kentucky : Red River Gorge : Bald Rock Recreational Pres... : Chocolate Factory	2.5	-1	Lead	Flash	Sport	
2017-09-02	Grandpa Joe	5.9 5c 17 VI 17 HVS 5a		https://www.mountainproject.com/v/grandpa-joe/109480361	1	Kentucky : Red River Gorge : Bald Rock Recreational Pres... : Chocolate Factory	2.7	-1	Lead	Onsight	Sport	
2017-09-02	EGBG	5.10a 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/egbg/108766319	1	Kentucky : Red River Gorge : Bald Rock Recreational Pres... : Chocolate Factory	3.4	-1	Lead	Flash	Sport	
2017-09-02	Hip to the Jive	5.11b 6c 23 VIII- 23 E3 5c		https://www.mountainproject.com/v/hip-to-the-jive/107379148	1	Kentucky : Red River Gorge : Bald Rock Recreational Pres... : Chocolate Factory	3.3	-1			Sport	
2017-09-01	Possum Lips	5.10d 6b+ 21 VII+ 21 E3 5b		https://www.mountainproject.com/v/possum-lips/105870248	1	Kentucky : Red River Gorge : Military Wall	2.6	-1	Lead		Sport	
2017-09-01	Moonbeam	5.9 5c 17 VI 17 HVS 5a	Warm up, couldn't finish because anchors were so wet 	https://www.mountainproject.com/v/moonbeam/105891677	1	Kentucky : Red River Gorge : Military Wall	2.3	-1	Lead		Sport	
2017-09-01	Possum Lips	5.10d 6b+ 21 VII+ 21 E3 5b	Fell going for the chains, so close!	https://www.mountainproject.com/v/possum-lips/105870248	1	Kentucky : Red River Gorge : Military Wall	2.6	-1	Lead		Sport	
2017-08-31	Redriveroutdoors.com	5.10a 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/redriveroutdoorscom/106727830	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	2.0	-1	Lead	Onsight	Sport	
2017-08-31	Trundling Kentucky	5.8 5b 16 VI- 15 HVS 4c		https://www.mountainproject.com/v/trundling-kentucky/107537571	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	2.0	-1	Lead	Onsight	Sport	
2017-08-31	Hey There Fancy Pants	5.10c 6b 20 VII 20 E2 5b		https://www.mountainproject.com/v/hey-there-fancy-pants/106064500	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	2.6	-1	Lead		Sport	
2017-08-31	Stay Off the Radio Jeff!	5.9+ 5c 17 VI 17 E1 5a		https://www.mountainproject.com/v/stay-off-the-radio-jeff/107596000	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	2.5	-1	Lead	Onsight	Sport	
2017-08-31	Sweet Jane	5.8- 5b 16 VI- 14 VS 4c		https://www.mountainproject.com/v/sweet-jane/106286280	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	2.0	-1	Lead	Onsight	Sport	
2017-08-31	A-Beano	5.8- 5b 16 VI- 14 VS 4c		https://www.mountainproject.com/v/a-beano/106085035	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	1.7	-1	Lead	Onsight	Sport	
2017-08-31	Rat Stew	5.10a 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/rat-stew/106061906	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	3.1	-1	Lead	Onsight	Sport	
2017-08-31	Critters on the Cliff	5.10c 6b 20 VII 20 E2 5b		https://www.mountainproject.com/v/critters-on-the-cliff/106061920	1	Kentucky : Red River Gorge : Muir Valley : Bruise Brothers Wall	3.0	-1	Lead		Sport	
